"Interval start","Graph 1"
"108.900","77"
"109.000","49"
"109.100","71"
"109.200","48"
"109.300","88"
"109.400","65"
"109.500","39"
"109.600","78"
"109.700","64"
"109.800","64"
"109.900","80"
"110.000","38"
"110.100","73"
"110.200","70"
"110.300","65"
"110.400","64"
"110.500","48"
"110.600","59"
"110.700","54"
"110.800","34"
"110.900","48"
"111.000","40"
"111.100","60"
"111.200","39"
"111.300","54"
"111.400","40"
"111.500","58"
"111.600","50"
"111.700","44"
"111.800","38"
"111.900","57"
"112.000","53"
"112.100","37"
"112.200","40"
"112.300","50"
"112.400","29"
"112.500","47"
"112.600","44"
"112.700","29"
"112.800","84"
"112.900","40"
"113.000","35"
"113.100","33"
"113.200","43"
"113.300","29"
"113.400","25"
"113.500","40"
"113.600","16"
"113.700","51"
"113.800","37"
"113.900","35"
"114.000","42"
"114.100","55"
"114.200","29"
"114.300","94"
"114.400","32"
"114.500","50"
"114.600","21"
"114.700","44"
"114.800","57"
"114.900","42"
"115.000","32"
"115.100","77"
"115.200","50"
"115.300","55"
"115.400","46"
"115.500","43"
"115.600","47"
"115.700","50"
"115.800","33"
"115.900","42"
"116.000","16"
"116.100","32"
"116.200","19"
"116.300","80"
"116.400","58"
"116.500","59"
"116.600","57"
"116.700","76"
"116.800","48"
"116.900","89"
"117.000","56"
"117.100","80"
"117.200","54"
"117.300","75"
"117.400","52"
"117.500","65"
"117.600","72"
"117.700","56"
"117.800","44"
"117.900","57"
"118.000","75"
"118.100","56"
"118.200","42"
"118.300","72"
"118.400","38"
"118.500","57"
"118.600","54"
"118.700","43"
"118.800","38"
"118.900","48"
"119.000","24"
"119.100","48"
"119.200","44"
"119.300","37"
"119.400","39"
"119.500","62"
"119.600","54"
"119.700","57"
"119.800","46"
"119.900","67"
"120.000","59"
"120.100","50"
"120.200","64"
"120.300","72"
"120.400","49"
"120.500","58"
"120.600","44"
"120.700","48"
"120.800","54"
"120.900","65"
"121.000","30"
"121.100","70"
"121.200","29"
"121.300","77"
"121.400","38"
"121.500","39"
"121.600","52"
"121.700","59"
"121.800","37"
"121.900","37"
"122.000","89"
"122.100","39"
"122.200","79"
"122.300","36"
"122.400","53"
"122.500","46"
"122.600","36"
"122.700","77"
"122.800","65"
"122.900","30"
"123.000","81"
"123.100","35"
"123.200","51"
"123.300","65"
"123.400","78"
"123.500","61"
"123.600","40"
"123.700","57"
"123.800","39"
"123.900","77"
"124.000","37"
"124.100","48"
"124.200","33"
"124.300","113"
"124.400","47"
"124.500","89"
"124.600","49"
"124.700","114"
"124.800","73"
"124.900","55"
"125.000","69"
"125.100","63"
"125.200","38"
"125.300","70"
"125.400","37"
"125.500","63"
"125.600","46"
"125.700","34"
"125.800","59"
"125.900","55"
"126.000","55"
"126.100","64"
"126.200","38"
"126.300","79"
"126.400","45"
"126.500","50"
"126.600","61"
"126.700","78"
"126.800","40"
"126.900","41"
"127.000","36"
"127.100","51"
"127.200","28"
"127.300","64"
"127.400","42"
"127.500","43"
"127.600","61"
"127.700","49"
"127.800","32"
"127.900","71"
"128.000","33"
"128.100","49"
"128.200","47"
"128.300","46"
"128.400","51"
"128.500","72"
"128.600","50"
"128.700","43"
"128.800","25"
"128.900","63"
"129.000","48"
