"Interval start","Graph 1","Graph 2","Graph 3"
"95.000","1205","802","84"
"95.100","1337","871","73"
"95.200","1420","856","70"
"95.300","1341","785","74"
"95.400","1406","796","71"
"95.500","1255","806","79"
"95.600","810","765","123"
"95.700","1245","805","80"
"95.800","1298","859","75"
"95.900","1168","1029","87"
"96.000","1464","846","68"
"96.100","1467","834","68"
"96.200","1435","823","69"
"96.300","1297","834","77"
"96.400","1198","872","83"
"96.500","1589","808","62"
"96.600","1392","828","71"
"96.700","1431","836","70"
"96.800","1509","883","64"
"96.900","1306","841","78"
"97.000","1327","833","75"
"97.100","1364","813","73"
"97.200","1347","823","74"
"97.300","1408","846","71"
"97.400","1317","819","75"
"97.500","1458","804","68"
"97.600","984","866","101"
"97.700","1372","811","72"
"97.800","1207","848","81"
"97.900","1260","871","80"
"98.000","1594","800","62"
"98.100","1234","859","80"
"98.200","1339","821","74"
"98.300","1422","875","68"
"98.400","1104","848","92"
"98.500","1353","837","73"
"98.600","1347","815","74"
"98.700","1508","845","66"
"98.800","1477","825","67"
"98.900","1416","837","70"
"99.000","1472","854","67"
"99.100","1129","873","88"
"99.200","1640","846","61"
"99.300","1419","825","70"
"99.400","1376","880","72"
"99.500","1587","817","62"
"99.600","1330","833","74"
"99.700","1494","860","67"
"99.800","1483","819","67"
"99.900","1385","822","72"
"100.000","1478","838","67"
"100.100","1509","806","66"
"100.200","1472","851","67"
"100.300","1444","856","69"
"100.400","1403","851","71"
"100.500","1747","842","57"
"100.600","1442","889","69"
"100.700","1510","822","66"
"100.800","1491","868","66"
"100.900","1583","860","63"
"101.000","1621","862","61"
"101.100","1351","813","73"
"101.200","1471","811","67"
"101.300","1056","785","90"
"101.400","947","794","110"
"101.500","1487","816","67"
"101.600","993","757","100"
"101.700","961","797","104"
"101.800","1299","822","76"
"101.900","1470","789","67"
"102.000","1460","802","68"
"102.100","1258","831","79"
"102.200","1548","779","64"
"102.300","1242","801","79"
"102.400","1054","818","95"
"102.500","1231","783","81"
"102.600","1127","801","88"
"102.700","1501","825","66"
"102.800","1301","781","76"
"102.900","1296","793","77"
"103.000","1545","820","64"
"103.100","1101","789","91"
"103.200","1290","797","77"
"103.300","1255","821","77"
"103.400","1218","793","84"
"103.500","1654","804","60"
"103.600","866","815","115"
"103.700","1328","785","75"
"103.800","1247","805","78"
"103.900","1508","816","67"
"104.000","1259","784","79"
"104.100","948","805","105"
"104.200","1371","801","72"
"104.300","1397","778","71"
"104.400","1231","802","81"
"104.500","1343","814","74"
"104.600","861","771","115"
"104.700","1331","792","75"
"104.800","1245","813","79"
"104.900","1008","791","100"
"105.000","1018","808","98"
"105.100","689","786","117"
"105.200","924","791","128"
"105.300","501","813","65"
"105.400","0","0","0"
"105.500","0","0","0"
"105.600","0","0","0"
"105.700","0","0","0"
"105.800","0","0","0"
"105.900","0","0","0"
"106.000","966","823","794"
"106.100","685","787","146"
"106.200","539","791","176"
"106.300","503","783","207"
"106.400","425","755","202"
"106.500","205","730","556"
"106.600","1012","809","93"
"106.700","475","766","221"
"106.800","1091","775","91"
"106.900","880","827","113"
"107.000","1278","785","77"
"107.100","1198","810","78"
"107.200","1016","823","105"
"107.300","1300","777","76"
"107.400","1108","794","90"
"107.500","1354","811","73"
"107.600","1177","775","85"
"107.700","802","784","124"
"107.800","1238","817","80"
"107.900","1344","786","74"
"108.000","1534","790","65"
"108.100","1354","810","73"
"108.200","1366","780","72"
"108.300","1662","789","60"
"108.400","1031","821","96"
"108.500","1569","781","64"
"108.600","1402","800","71"
"108.700","1481","804","67"
"108.800","1579","785","63"
"108.900","1489","800","67"
"109.000","1740","821","57"
"109.100","1584","792","63"
"109.200","1586","795","63"
"109.300","1867","804","53"
"109.400","1614","787","61"
"109.500","1704","793","58"
"109.600","1502","815","66"
"109.700","1623","789","61"
"109.800","1782","797","56"
"109.900","1648","814","60"
"110.000","1806","782","55"
"110.100","1617","808","61"
"110.200","1542","863","65"
"110.300","1811","798","55"
"110.400","1561","800","64"
"110.500","1613","820","62"
"110.600","1780","783","56"
"110.700","1482","795","66"
"110.800","1812","807","55"
"110.900","1553","771","64"
